QUERY_ID,USER_NAME,QUERY_TEXT,DATABASE_NAME,SCHEMA_NAME,START_TIME,END_TIME,TOTAL_ELAPSED_TIME
01bbe2f7-0004-b8cf-0003-b05e00029826,SHRISTIKUMAR,"SELECT 
    di.INDUSTRY,
    EXTRACT(YEAR FROM fi.DATE_KEY) AS YEAR,
    SUM(fi.POSITIVE_COUNT) AS POSITIVE_COUNT,
    SUM(fi.NEGATIVE_COUNT) AS NEGATIVE_COUNT,
    SUM(fi.NEUTRAL_COUNT) AS NEUTRAL_COUNT
FROM FACT_INDUSTRY fi
JOIN DIM_INDUSTRY di ON fi.INDUSTRY_ID = di.INDUSTRY_ID
GROUP BY di.INDUSTRY, EXTRACT(YEAR FROM fi.DATE_KEY)
ORDER BY di.INDUSTRY, YEAR;",FINAL_PROJECT,PUBLIC,2025-04-23 11:31:38.673 -0700,2025-04-23 11:31:38.754 -0700,81
01bbe2f7-0004-b9b4-0003-b05e0002a78a,SHRISTIKUMAR,"SELECT 
    di.INDUSTRY,
    EXTRACT(YEAR FROM fi.DATE_KEY) AS YEAR,
    SUM(fi.POSITIVE_COUNT) AS POSITIVE_COUNT,
    SUM(fi.NEGATIVE_COUNT) AS NEGATIVE_COUNT,
    SUM(fi.NEUTRAL_COUNT) AS NEUTRAL_COUNT
FROM FACT_INDUSTRY fi
JOIN DIM_INDUSTRY di ON fi.INDUSTRY_ID = di.INDUSTRY_ID
GROUP BY di.INDUSTRY, EXTRACT(YEAR FROM fi.DATE_KEY)
ORDER BY di.INDUSTRY, YEAR;",FINAL_PROJECT,PUBLIC,2025-04-23 11:31:05.580 -0700,2025-04-23 11:31:05.690 -0700,110
01bbe2f6-0004-bdf1-0003-b05e0004805e,SHRISTIKUMAR,"SELECT 
    di.INDUSTRY,
    EXTRACT(YEAR FROM fi.DATE_KEY) AS YEAR,
    SUM(fi.POSITIVE_COUNT) AS POSITIVE_COUNT,
    SUM(fi.NEGATIVE_COUNT) AS NEGATIVE_COUNT,
    SUM(fi.NEUTRAL_COUNT) AS NEUTRAL_COUNT
FROM FACT_INDUSTRY fi
JOIN DIM_INDUSTRY di ON fi.INDUSTRY_ID = di.INDUSTRY_ID
GROUP BY di.INDUSTRY, EXTRACT(YEAR FROM fi.DATE_KEY)
ORDER BY di.INDUSTRY, YEAR;",FINAL_PROJECT,PUBLIC,2025-04-23 11:30:04.805 -0700,2025-04-23 11:30:05.642 -0700,837
01bbe2f2-0004-bdf1-0003-b05e0004805a,SHRISTIKUMAR,SELECT * FROM DIM_INDUSTRY;,FINAL_PROJECT,PUBLIC,2025-04-23 11:26:23.017 -0700,2025-04-23 11:26:23.050 -0700,33
01bbe2f2-0004-bb6a-0003-b05e00046052,SHRISTIKUMAR,SELECT * FROM FACT_INDUSTRY;,FINAL_PROJECT,PUBLIC,2025-04-23 11:26:21.632 -0700,2025-04-23 11:26:21.688 -0700,56
01bbe2f2-0004-bdf1-0003-b05e00048056,SHRISTIKUMAR,SELECT * FROM DIM_INDUSTRY;,FINAL_PROJECT,PUBLIC,2025-04-23 11:26:06.554 -0700,2025-04-23 11:26:07.107 -0700,553
01bbe2f2-0004-b9b4-0003-b05e0002a786,SHRISTIKUMAR,SELECT * FROM FACT_INDUSTRY;,FINAL_PROJECT,PUBLIC,2025-04-23 11:26:04.118 -0700,2025-04-23 11:26:05.468 -0700,1350
01bbe2ef-0004-b8cf-0003-b05e00029822,SHRISTIKUMAR,"SELECT di.INDUSTRY, fi.AVG_SENTIMENT_SCORE
FROM FACT_INDUSTRY fi
JOIN DIM_INDUSTRY di ON fi.INDUSTRY_ID = di.INDUSTRY_ID
ORDER BY fi.AVG_SENTIMENT_SCORE DESC;",FINAL_PROJECT,PUBLIC,2025-04-23 11:23:38.983 -0700,2025-04-23 11:23:39.053 -0700,70
01bbe2ef-0004-be2d-0003-b05e00045066,SHRISTIKUMAR,show WAREHOUSES like 'INDUSTRY_WH',FINAL_PROJECT,PUBLIC,2025-04-23 11:23:25.283 -0700,2025-04-23 11:23:25.379 -0700,96
01bbe2ef-0004-b8cf-0003-b05e0002981e,SHRISTIKUMAR,"SELECT di.INDUSTRY, fi.AVG_SENTIMENT_SCORE
FROM FACT_INDUSTRY fi
JOIN DIM_INDUSTRY di ON fi.INDUSTRY_ID = di.INDUSTRY_ID
ORDER BY fi.AVG_SENTIMENT_SCORE DESC;",FINAL_PROJECT,PUBLIC,2025-04-23 11:23:06.660 -0700,2025-04-23 11:23:06.832 -0700,172
